ID,Park,Mileage
1,Myre - Big Island State Park,6.2
2,Beaver Creek Valley State Park,6.2
3,Maplewood State Park,6.2
4,Blue Mounds State Park,6.2
5,William O'Brien State Park,6
6,Split Rock Lighthouse State Park,5.8
7,Savanna Portage State Park,5.3
8,Glacial Lakes State Park,4.7
9,Upper Sioux Agency State Park,4.3
10,George H. Crosby Manitou State Park,4.2
11,Minnesota Valley State Recreation Area,4
12,St. Croix State Park,4
13,Sibley State Park,4
14,Jay Cooke State Park,3.5
15,Itasca State Park,3.5
16,Cascade River State Park,3.5
17,Lake Bronson State Park,3.4
18,Wild River State Park,3.3
19,Glendalough State Park,3.3
20,Mille Lacs Kathio State Park,3.2
21,Fort Snelling State Park,3
22,Interstate State Park,3
23,McCarthy Beach State Park,3
24,Bear Head Lake State Park,3
25,Lake Carlos State Park,2.9
26,Scenic State Park,2.9
27,Charles A. Lindbergh State Park,2.8
28,Flandrau State Park,2.8
29,Minneopa State Park,2.7
30,Frontenac State Park,2.6
31,Banning State Park,2.6
32,Fort Ridgely State Park,2.6
33,Split Rock Creek State Park,2.6
34,Afton State Park,2.5
35,Great River Bluffs State Park,2.5
36,Buffalo River State Park,2.5
37,Lake Vermilion-Soudan Underground Mine State Park,2.5
38,Judge C.R. Magney State Park,2.5
39,Rice Lake State Park,2.4
40,Camden State Park,2.4
41,Crow Wing State Park,2.3
42,Sakatah Lake State Park,2.2
43,Nerstrand Big Woods State Park,2.2
44,Whitewater State Park,2.2
45,Gooseberry Falls State Park,2.2
46,Big Stone Lake State Park,2.2
47,Red River State Recreation Area,2.2
48,Lake Maria State Park,2
49,Father Hennepin State Park,2
50,Moose Lake State Park,2
51,Forestville/Mystery Cave State Park,2
52,Lac qui Parle State Park,2
53,Kilen Woods State Park,2
54,Tettegouche State Park,2
55,Lake Bemidji State Park,2
56,Big Bog State Recreation Area,2
57,HaYes Lake State Park,2
58,Temperance River State Park,1.9
59,Carley State Park,1.8
60,Schoolcraft State Park,1.8
61,Zippel Bay State Park,1.5
62,Old Mill State Park,1.4
63,Lake Louise State Park,1.3
64,Franz Jevne State Park,1.3
65,Monson Lake State Park,1
66,Lake Shetek State Park,1
67,Grand Portage State Park,1